TIME_PERIOD#es,TIME_PERIOD_CODE,UNIVERSIDADES#es,UNIVERSIDADES_CODE,SEXO#es,SEXO_CODE,PROCEDIMIENTO_ACCESO#es,PROCEDIMIENTO_ACCESO_CODE,CONVOCATORIA#es,CONVOCATORIA_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,481,,,,
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,263,,,,
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,218,,,,
2016,2016,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,286,,,,
2016,2016,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,163,,,,
2016,2016,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,123,,,,
2017,2017,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,236,,,,
2017,2017,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,133,,,,
2017,2017,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,103,,,,
2018,2018,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,179,,,,
2018,2018,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,94,,,,
2018,2018,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,85,,,,
2019,2019,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,167,,,,
2019,2019,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,90,,,,
2019,2019,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,77,,,,
2020,2020,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,155,,,,
2020,2020,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,90,,,,
2020,2020,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,65,,,,
2021,2021,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,146,,,,
2021,2021,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,79,,,,
2021,2021,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,67,,,,
2022,2022,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,120,,,,
2022,2022,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,60,,,,
2022,2022,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Aprobados,APROBADOS,60,,,,
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,645,,,,
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,345,,,,
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,300,,,,
2016,2016,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,473,,,,
2016,2016,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,259,,,,
2016,2016,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,214,,,,
2017,2017,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,393,,,,
2017,2017,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,219,,,,
2017,2017,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,174,,,,
2018,2018,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,372,,,,
2018,2018,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,206,,,,
2018,2018,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,166,,,,
2019,2019,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,313,,,,
2019,2019,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,160,,,,
2019,2019,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,153,,,,
2020,2020,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,260,,,,
2020,2020,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,137,,,,
2020,2020,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,123,,,,
2021,2021,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,258,,,,
2021,2021,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,119,,,,
2021,2021,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,139,,,,
2022,2022,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,257,,,,
2022,2022,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,112,,,,
2022,2022,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,145,,,,
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,1001,,,,
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,558,,,,
